city,country,population,density,lat,lng
Beijing_271,China,21894696,1351,39.76660745617698,116.26979780813447
Karachi_88,Pakistan,15364577,21000,24.921055389179543,66.82366463161084
Chongqing_294,China,13111004,4548,29.609992603851087,106.5962612641953
Chongqing_49,China,16544723,3647,29.381666265285446,106.74110220753657
Kolkata_190,India,12418202,23041,22.525584796506866,88.55719235432272
Shanghai_135,China,22210539,3138,31.409954214901333,121.65995281322982
Manila_265,Philippines,10871702,18828,14.495910186410406,121.05750540753019
Chongqing_264,China,13331247,4422,29.466511992640005,106.61660891374159
Delhi_54,India,29046758,9893,28.891933851105822,77.21255312934446
Delhi_202,India,33017242,11763,28.872849694009247,76.93789700082077
Dhaka_213,Bangladesh,18706209,20896,23.941795003660772,90.35520133067743
Istanbul_41,Turkey,14202407,9353,40.81445456269648,28.94776059228255
Tokyo_136,Japan,30002665,6980,35.77224293753905,139.7833028672164
Tokyo_261,Japan,43777540,6572,35.85548387021751,139.83171543111592
Chongqing_33,China,13522395,3512,29.4930733288107,106.64344247133522
Dhaka_214,Bangladesh,22610340,22744,23.658137698375324,90.49779791488919
Tokyo_5,Japan,38316776,6869,35.68701823854576,139.7007931317528
Kolkata_42,India,14489658,19375,22.73090543826941,88.35404808927285
São Paulo_222,Brazil,18526610,7865,-23.53456356347933,-46.75207551010609
Istanbul_160,Turkey,16073933,11641,41.16038713560611,29.028141619253518
Cairo_284,Egypt,22514608,17317,30.20142359939599,31.25143689676626
Beijing_190,China,16910340,1158,39.8750431154505,116.534605906369
Mexico City_259,Mexico,17324813,6025,19.39956440125951,-99.2443568758117
Tianjin_234,China,12356633,1553,39.272681172808305,117.36911624869734
Mexico City_180,Mexico,20403796,7132,19.617578917976846,-99.23248708166986
Delhi_113,India,24500220,13573,28.610812405710114,77.29314598233307
Mumbai_224,India,25076231,18812,18.93395794883649,72.87348110411104
Cairo_247,Egypt,21458317,21872,29.93945501759696,31.326986539444746
Mumbai_98,India,22707346,21300,18.912115908021764,73.0118209982357
Cairo_259,Egypt,20805906,21206,29.85103513157114,31.240537223319713
Tianjin_148,China,13982383,1148,39.419775095240986,117.3162941385202
Manila_129,Philippines,14429461,23085,14.483128648295086,121.00077918953103
Osaka_99,Japan,17187469,10265,34.886567337331776,135.50885435650838
Kinshasa_2,DR Congo,16213328,29416,-4.418582618557162,15.419354537275735
Mexico City_233,Mexico,20279316,6542,19.591444103981033,-98.97836543029396
Tokyo_116,Japan,31178790,5359,35.848921675410836,139.73427162386383
Shanghai_112,China,21503938,4048,31.032424633538486,121.338023220567
Manila_194,Philippines,14516852,22382,14.489207723784224,121.06907168853901
Tokyo_277,Japan,32595246,5866,35.78716820922263,139.78007596970085
Tokyo_176,Japan,31321431,5870,35.59558094707269,139.58929585735163
Cairo_230,Egypt,19217531,22905,30.096855450398905,31.35362452141666
Tokyo_284,Japan,39927176,7100,35.581574107296625,139.6913773519539
São Paulo_35,Brazil,23975677,6171,-23.352679795681063,-46.64532219440362
Buenos Aires_6,Argentina,14189666,11609,-34.432372574964916,-58.41032634067307
Shanghai_188,China,29194275,3487,31.18443909144077,121.61415466860673
Shanghai_128,China,24279230,3639,31.368085256290524,121.64570673392433
Buenos Aires_280,Argentina,13224354,15385,-34.66024128748154,-58.479934540372106
Osaka_273,Japan,21970080,10084,34.777264398764046,135.52332799076316
Osaka_247,Japan,18662317,10649,34.73830548434627,135.3348376721601
Beijing_36,China,22426046,1377,39.98498675090308,116.52571706777444
Chongqing_143,China,15567077,3182,29.59431205639847,106.3659769095187
Kinshasa_180,DR Congo,11032542,22848,-4.427067029121338,15.196960496718416
Dhaka_53,Bangladesh,17788906,27280,23.793206064645492,90.54930923000478
Guangzhou_47,China,14124927,2138,22.982198168897188,113.45221474684566
Osaka_158,Japan,15741529,11322,34.6671082950323,135.59981705719963
Mumbai_117,India,17942119,20397,19.151399960306147,72.70097743820338
Tokyo_239,Japan,33663694,6320,35.775338369080025,139.7557789506871
Tokyo_272,Japan,37649844,6587,35.66376915947116,139.78371572662473
Shanghai_76,China,26257745,3281,31.078465859122257,121.41045186668656
Mumbai_47,India,17595980,23985,19.15746314375201,72.86736953163494
Lagos_39,Nigeria,13045452,16464,6.584309473057106,3.1984235696788135
Mumbai_100,India,17635429,19946,19.126343966285695,72.87895450343204
Tokyo_4,Japan,39133204,7298,35.86720063885007,139.838579573422
Guangzhou_152,China,14008015,2573,22.980500141293565,113.3888816706944
Karachi_101,Pakistan,17288556,27640,24.921293908743117,66.8837737439507
Istanbul_12,Turkey,12993271,8718,40.84597718430237,29.051602709366545
Kinshasa_90,DR Congo,12548440,28221,-4.63259122570567,15.392087393035574
Mexico City_196,Mexico,23246106,5636,19.607259260742282,-99.31752546932974
São Paulo_192,Brazil,22307506,8249,-23.699424108231014,-46.73329342031356
Mumbai_268,India,20943758,23107,19.177817149633874,72.71894954753438
Kinshasa_62,DR Congo,13509391,23705,-4.522845930196276,15.106293954864745
São Paulo_233,Brazil,24656259,7111,-23.367779645949415,-46.56259203823028
Guangzhou_144,China,12811246,2293,23.060565818147968,113.3334073824308
São Paulo_53,Brazil,24175074,8424,-23.714017558780522,-46.63553187811897
Beijing_223,China,16476125,1423,39.922566308065996,116.48973259355148
Kolkata_76,India,15966898,24965,22.719347482124338,88.49929230550559
Buenos Aires_141,Argentina,13306120,13804,-34.446941236489295,-58.52295807132319
Mumbai_136,India,20471912,19913,19.201119826903003,73.05659943095355
Istanbul_132,Turkey,14536054,11699,41.00086679518565,28.9295950360489
Beijing_91,China,18021684,1211,39.87798073779531,116.30887286954925
Manila_220,Philippines,13867439,23133,14.70637794124343,121.11331614075068
Beijing_1,China,21486337,1163,39.86428915714881,116.39848595635209
Tokyo_117,Japan,44329889,4988,35.87745153068306,139.50896396478024
Lagos_213,Nigeria,16640884,13852,6.545941713760528,3.5669210142476397
Manila_47,Philippines,14179820,22752,14.58131642590711,121.03522323203363
Shanghai_144,China,28008204,4431,31.413880962963137,121.29684555910308
Cairo_156,Egypt,18756284,17183,30.10313934466749,31.19100735359595
Manila_28,Philippines,11204807,25103,14.793984297791843,121.0634646856079
Kinshasa_201,DR Congo,12497315,27912,-4.368007530978448,15.131346775737956
Buenos Aires_35,Argentina,16897965,16990,-34.51341219664466,-58.336233921625684
Delhi_10,India,33449527,12977,28.522187468042475,76.91304678979891
Tokyo_65,Japan,37106403,7401,35.64019558797518,139.79153131999044
Kinshasa_98,DR Congo,11021650,21167,-4.6364312140692014,15.096443624140985
Kinshasa_197,DR Congo,16232072,29726,-4.41972731775895,15.373894966072204
Mumbai_202,India,24570799,18877,19.056217654124037,72.7293637660606
Tianjin_173,China,13776239,1176,39.41208027376234,117.40885129618316
Dhaka_39,Bangladesh,20921624,23186,23.919227356694257,90.42056540044479
Chongqing_54,China,19448984,3174,29.679727135787854,106.58758235885504
Kolkata_207,India,16540929,23226,22.694617867007747,88.52516042347065
Delhi_294,India,29746806,11938,28.72602624341689,76.93890083642054
Delhi_249,India,28673558,12604,28.662717112928508,77.15133468009115
Tianjin_81,China,15591166,1133,39.5140350500646,117.35844651723181
Guangzhou_69,China,15592722,2492,23.060600644115006,113.31776034172668
Lagos_111,Nigeria,11836571,14215,6.385161077404918,3.234730869059764
Dhaka_184,Bangladesh,18886201,26443,23.816394421945684,90.60174413970803
Tianjin_277,China,11464990,1203,39.2142041937107,117.19708101350282
Tokyo_133,Japan,36813317,5469,35.635207944419236,139.69306690834193
Istanbul_73,Turkey,12940777,10718,41.08331388683843,28.983062805418903
Karachi_48,Pakistan,13569642,22313,24.983180511917226,67.10040387615345
Guangzhou_207,China,13272456,2924,23.023546613246964,113.36838216357503
Buenos Aires_216,Argentina,16287185,11879,-34.744604363237514,-58.52835322856501
Shanghai_111,China,29106592,4179,31.04258886109344,121.62058599242988
Cairo_227,Egypt,19250184,16670,30.139362082437525,31.108613551390384
Beijing_273,China,17722946,1210,39.752104852727705,116.56361091229596
Guangzhou_25,China,14018134,2789,23.128476879571625,113.09916811523496
Kolkata_34,India,15192989,22761,22.598383417009057,88.31540905038052
Mumbai_6,India,25001919,21903,18.97374126218586,72.87699907913958
Cairo_229,Egypt,23558718,15899,29.93453311908501,31.181842727869626
Lagos_4,Nigeria,15850545,13947,6.646745954696457,3.20146139574279
Mexico City_247,Mexico,17710538,4843,19.51138458494657,-98.93429778609264
Cairo_220,Egypt,23427853,15881,30.234426865178058,31.231999511703513
Cairo_62,Egypt,23524060,20249,30.07304507578796,31.147691637464114
Chongqing_133,China,14331589,3531,29.533174575446566,106.55464415147378
